"","Clarity","Aroma","Body","Flavor","Oakiness","Quality","Region"
"1",1,3.3,2.8,3.1,4.1,9.8,1
"2",1,4.4,4.9,3.5,3.9,12.6,1
"3",1,3.9,5.3,4.8,4.7,11.9,1
"4",1,3.9,2.6,3.1,3.6,11.1,1
"5",1,5.6,5.1,5.5,5.1,13.3,1
"6",1,4.6,4.7,5,4.1,12.8,1
"7",1,4.8,4.8,4.8,3.3,12.8,1
"8",1,5.3,4.5,4.3,5.2,12,1
"9",1,4.3,4.3,3.9,2.9,13.6,3
"10",1,4.3,3.9,4.7,3.9,13.9,1
"11",1,5.1,4.3,4.5,3.6,14.4,3
"12",0.5,3.3,5.4,4.3,3.6,12.3,2
"13",0.8,5.9,5.7,7,4.1,16.1,3
"14",0.7,7.7,6.6,6.7,3.7,16.1,3
"15",1,7.1,4.4,5.8,4.1,15.5,3
"16",0.9,5.5,5.6,5.6,4.4,15.5,3
"17",1,6.3,5.4,4.8,4.6,13.8,3
"18",1,5,5.5,5.5,4.1,13.8,3
"19",1,4.6,4.1,4.3,3.1,11.3,1
"20",0.9,3.4,5,3.4,3.4,7.9,2
"21",0.9,6.4,5.4,6.6,4.8,15.1,3
"22",1,5.5,5.3,5.3,3.8,13.5,3
"23",0.7,4.7,4.1,5,3.7,10.8,2
"24",0.7,4.1,4,4.1,4,9.5,2
"25",1,6,5.4,5.7,4.7,12.7,3
"26",1,4.3,4.6,4.7,4.9,11.6,2
"27",1,3.9,4,5.1,5.1,11.7,1
"28",1,5.1,4.9,5,5.1,11.9,2
"29",1,3.9,4.4,5,4.4,10.8,2
"30",1,4.5,3.7,2.9,3.9,8.5,2
"31",1,5.2,4.3,5,6,10.7,2
"32",0.8,4.2,3.8,3,4.7,9.1,1
"33",1,3.3,3.5,4.3,4.5,12.1,1
"34",1,6.8,5,6,5.2,14.9,3
"35",0.8,5,5.7,5.5,4.8,13.5,1
"36",0.8,3.5,4.7,4.2,3.3,12.2,1
"37",0.8,4.3,5.5,3.5,5.8,10.3,1
"38",0.8,5.2,4.8,5.7,3.5,13.2,1
